Time taken by parallel program: 10179635 microseconds
) 1201717(0.210257)
318176(0.559603) 1109841(0.669119)
903702(0.543892) 1109841(0.669119)
1486993(0.643896) 1323303(0.768449)
1601674(0.300431) 894322(0.443674)
894322(0.443674) 1247588(0.551683)
894322(0.443674) 1339166(0.555776)
1384682(0.48656) 1247588(0.551683)
1384682(0.48656) 1339166(0.555776)
176352(0.806916) 881591(0.951048)
1881575(0.78923) 881591(0.951048)
153706(0.310421) 332225(0.43688)
153706(0.310421) 1212550(0.40938)
1229903(0.269242) 1212550(0.40938)
1504806(0.268863) 1212550(0.40938)
1590751(0.0242214) 119547(0.179913)
1978015(0.131412) 119547(0.179913)
1978015(0.131412) 698770(0.256357)
1978015(0.131412) 1910590(0.259323)
194848(0.162338) 718090(0.239426)
194848(0.162338) 1011779(0.247919)
891027(0.161855) 718090(0.239426)
891027(0.161855) 1011779(0.247919)
281716(0.455487) 259413(0.585989)
259413(0.585989) 607747(0.694029)
1908261(0.487106) 1490446(0.534052)
580020(0.497992) 967333(0.504217)
580020(0.497992) 1313462(0.608186)
998278(0.212618) 1459826(0.369448)
1990699(0.237063) 1459826(0.369448)
89357(0.809471) 1693423(0.838741)
656881(0.299546) 891515(0.369965)
1420267(0.302289) 1260589(0.392113)
183592(0.785548) 1403943(0.917601)
166496(0.606779) 874505(0.721362)
874505(0.721362) 541658(0.863951)
1862154(0.804993) 541658(0.863951)
1862154(0.804993) 1199500(0.953704)
1661597(0.155813) 286562(0.279487)
407827(0.165099) 1493615(0.181543)
853060(0.165212) 1493615(0.181543)
1701455(0.226468) 1194181(0.356912)
301000(0.640113) 617988(0.696465)
301000(0.640113) 707451(0.790681)
301000(0.640113) 1743043(0.768115)
1683420(0.652965) 617988(0.696465)
1683420(0.652965) 707451(0.790681)
1683420(0.652965) 1743043(0.768115)
45299(0.654734) 1445201(0.793859)
121272(0.666353) 924459(0.686117)
194332(0.631677) 924459(0.686117)
983161(0.0881943) 506058(0.218522)
1406887(0.160515) 506058(0.218522)
395692(0.486875) 1335915(0.564104)
724517(0.131183) 130173(0.172071)
724517(0.131183) 1178960(0.283404)
1178960(0.283404) 1254392(0.409894)
1633033(0.325005) 1254392(0.409894)
1504956(0.773507) 207041(0.915665)
1504956(0.773507) 1012911(0.862705)
202489(0.226936) 1219761(0.352146)
1409268(0.660601) 1263487(0.720416)
1263487(0.720416) 527005(0.846895)
1263487(0.720416) 1015011(0.849937)
1136408(0.294329) 977609(0.368473)
1136408(0.294329) 1341540(0.366721)
1566227(0.626754) 1043681(0.730961)
1043681(0.730961) 59237(0.862921)
354309(0.553577) 1522877(0.694014)
354309(0.553577) 1546597(0.701083)
1657873(0.329653) 775856(0.456007)
922326(0.751127) 489295(0.870102)
922326(0.751127) 1748622(0.864876)
295881(0.485903) 954864(0.58957)
295881(0.485903) 1680027(0.521592)
295881(0.485903) 1789548(0.592675)
736899(0.432411) 954864(0.58957)
736899(0.432411) 1680027(0.521592)
736899(0.432411) 1789548(0.592675)
1390272(0.430851) 954864(0.58957)
1390272(0.430851) 1680027(0.521592)
1390272(0.430851) 1789548(0.592675)
1738891(0.410569) 1680027(0.521592)
1478249(0.311439) 1309904(0.433918)
1769067(0.0885269) 559231(0.196572)
1769067(0.0885269) 1415097(0.197338)
1883945(0.0431785) 559231(0.196572)
1883945(0.0431785) 1415097(0.197338)
1507574(0.318634) 389211(0.337248)
1906163(0.422949) 1466364(0.526319)
941181(0.494992) 801943(0.580126)
1492809(0.48834) 801943(0.580126)
859145(0.227118) 150138(0.346762)
1009550(0.778064) 513070(0.855113)
1009550(0.778064) 1322932(0.847953)
1009550(0.778064) 1593907(0.928627)
1578782(0.155064) 581857(0.280915)
295066(0.158068) 64513(0.175908)
365032(0.392975) 76760(0.537875)
639593(0.385374) 76760(0.537875)
1817548(0.102695) 1047664(0.226141)
937791(0.275317) 279997(0.412272)
163277(0.480279) 1366667(0.622349)
163277(0.480279) 1390082(0.562434)
279997(0.412272) 1390082(0.562434)
1849109(0.658344) 109874(0.814194)
815299(0.282883) 468001(0.358462)
1602559(0.329829) 468001(0.358462)
468001(0.358462) 1455868(0.50103)
1229130(0.777746) 1499506(0.854866)
1867662(0.710658) 1499506(0.854866)
1232982(0.146167) 1936572(0.258168)
1501478(0.643948) 816689(0.797528)
816689(0.797528) 1402507(0.868413)
734906(0.133877) 892395(0.221003)
734906(0.133877) 1174167(0.250237)
1174167(0.250237) 127861(0.409403)
127861(0.409403) 749844(0.540227)
127861(0.409403) 953960(0.542572)
1722085(0.426232) 749844(0.540227)
1722085(0.426232) 953960(0.542572)
749844(0.540227) 1735897(0.69606)
953960(0.542572) 1735897(0.69606)
774528(0.592837) 1150912(0.748692)
1669108(0.600656) 1716148(0.753863)
187055(0.162937) 1118750(0.284695)
187055(0.162937) 1730407(0.199887)
404106(0.0795154) 1730407(0.199887)
1118750(0.284695) 1087369(0.351643)
1730407(0.199887) 1087369(0.351643)
1491391(0.722857) 79890(0.844472)
1360543(0.371458) 1904919(0.523509)
1028272(0.665477) 1228579(0.740505)
1109844(0.585002) 1228579(0.740505)
1228579(0.740505) 911155(0.880386)
1087705(0.666212) 795129(0.726411)
1825833(0.571538) 795129(0.726411)
1942953(0.644709) 795129(0.726411)
1756680(0.306015) 888046(0.46017)
1756680(0.306015) 922387(0.44225)
1882972(0.31861) 888046(0.46017)
1882972(0.31861) 922387(0.44225)
888046(0.46017) 1166923(0.618326)
1166923(0.618326) 1863263(0.7658)
1863263(0.7658) 1779610(0.892122)
258157(0.160788) 60125(0.183989)
258157(0.160788) 1720217(0.21704)
1266326(0.0415394) 60125(0.183989)
60125(0.183989) 122019(0.334427)
1720217(0.21704) 122019(0.334427)
1870457(0.480019) 1721868(0.60273)
1721868(0.60273) 1744568(0.7329)
937716(0.110179) 431642(0.24762)
937716(0.110179) 1362519(0.19165)
937716(0.110179) 1674140(0.245594)
1921260(0.131639) 431642(0.24762)
1921260(0.131639) 1362519(0.19165)
1921260(0.131639) 1674140(0.245594)
431642(0.24762) 85766(0.379946)
431642(0.24762) 1774510(0.393588)
1674140(0.245594) 85766(0.379946)
1674140(0.245594) 1774510(0.393588)
856639(0.330758) 1792212(0.437501)
1311185(0.310087) 28253(0.389252)
1311185(0.310087) 1053304(0.391014)
1311185(0.310087) 1397172(0.407923)
180788(0.165583) 453490(0.252278)
180788(0.165583) 898815(0.17493)
180788(0.165583) 1450030(0.283541)
180788(0.165583) 1586950(0.261434)
180788(0.165583) 1786289(0.190137)
1319247(0.0694859) 898815(0.17493)
1319247(0.0694859) 1786289(0.190137)
453490(0.252278) 1435348(0.402863)
1450030(0.283541) 1435348(0.402863)
1586950(0.261434) 1435348(0.402863)
1143000(0.332426) 932653(0.407894)
1143000(0.332426) 1038223(0.489198)
1143000(0.332426) 1498592(0.477622)
1038223(0.489198) 77118(0.636566)
1498592(0.477622) 77118(0.636566)
1009682(0.772473) 754022(0.913715)
1009682(0.772473) 855544(0.878782)
1764281(0.826996) 754022(0.913715)
1764281(0.826996) 855544(0.878782)
1126165(0.46849) 1043137(0.508197)
1126165(0.46849) 1047416(0.62463)
1047416(0.62463) 250926(0.776128)
72625(0.637617) 943115(0.751112)
24325(0.474844) 1209091(0.626107)
1304689(0.43839) 394047(0.520968)
1447300(0.65405) 1424968(0.805159)
114272(0.735978) 1696899(0.8974)
1679396(0.127793) 731665(0.226279)
1679396(0.127793) 1343491(0.194011)
1679396(0.127793) 1457169(0.204923)
1679396(0.127793) 1887054(0.197999)
168736(0.452267) 1553696(0.591695)
168736(0.452267) 1737371(0.544273)
492633(0.722202) 423763(0.847544)
901777(0.645689) 1950647(0.754923)
1950647(0.754923) 26276(0.899231)
1950647(0.754923) 1158196(0.85374)
312644(0.486543) 294069(0.644104)
294069(0.644104) 1332635(0.789508)
1032593(0.819961) 519358(0.912619)
1332635(0.789508) 519358(0.912619)
1407448(0.128629) 1469567(0.175739)
1043213(0.499578) 122965(0.550843)
1043213(0.499578) 939424(0.513696)
1006244(0.778622) 465015(0.874172)
1006244(0.778622) 1749883(0.939616)
1461212(0.656251) 74252(0.755704)
1461212(0.656251) 896048(0.779375)
